model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9545454545454546,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9920736151603499
XGBoost,0.9545454545454546,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9819606413994169
K-Nearest Neighbors,0.9415584415584416,0.9607843137254902,0.875,0.9158878504672897,0.9610969387755103
Support Vector Machine,0.8116883116883117,0.8292682926829268,0.6071428571428571,0.7010309278350515,0.9068877551020408
Logistic Regression,0.7467532467532467,0.6976744186046512,0.5357142857142857,0.6060606060606061,0.8392857142857143
